"i","j","G_mu_hat","G_mu_true","n_ave"
19,22,0.487301924149432,0.586165379187385,100
20,22,0.491512596856136,0.591033053729181,100
21,22,0.493522436868647,0.592571556677164,100
22,22,0.493391371135886,0.590817973854874,100
23,22,0.491153566362823,0.585837420339252,100
24,22,0.486816135964618,0.577721865719352,100
25,22,0.480363801029355,0.566588630705416,100
26,22,0.471768454953109,0.552578579006726,100
27,22,0.461002013414411,0.53585403282729,100
28,22,0.448050532671406,0.516596444312547,100
29,22,0.432927433724921,0.495003858756687,100
30,22,0.415683888258324,0.471288208295408,100
31,22,0.39641500942093,0.445672477118557,100
32,22,0.375261275737476,0.418387780906028,100
33,22,0.352405335607617,0.389670404193701,100
34,22,0.328064820154778,0.359758839699614,100
35,22,0.302482065556612,0.328890873280184,100
36,22,0.275911867511983,0.297300757149186,100
37,22,0.248608635492569,0.265216512295881,100
38,22,0.2208144662927,0.232857398711208,100
39,22,0.192749511831521,0.200431589110047,100
40,22,0.164605504715563,0.168134078370516,100
41,22,0.136542592739873,0.136144856953643,100
42,22,0.108689004758093,0.104627372182001,100
43,22,0.0811427202423952,0.0737272965140037,100
44,22,0.0539742554599536,0.0435716169271192,100
45,22,0.0272298086232083,0.0142680542981931,100
46,22,0.000934222760273331,-0.0140951836745307,100
47,22,-0.0249065270390087,-0.0414493178405083,100
48,22,-0.050303367647153,-0.0677445884157764,100
49,22,-0.0752825194846418,-0.0929495336002697,100
50,22,-0.0998839548335526,-0.117049973314188,100
1,23,0.0393352399654031,0.0307985830270122,100
2,23,0.0734564573659784,0.0707430241527953,100
3,23,0.107175204922478,0.110884180543964,100
4,23,0.140407109681427,0.150960903770309,100
5,23,0.17304908638945,0.190706414480846,100
6,23,0.204978384709711,0.229851068180847,100
7,23,0.236052284059813,0.268125198115765,100
8,23,0.266108697744663,0.305261995990991,100
9,23,0.294968060308829,0.341000390511802,100
10,23,0.322436991956946,0.375087883592856,100
11,23,0.348314287366322,0.407283304564236,100
12,23,0.372399630738107,0.437359443784261,100
13,23,0.394504942471491,0.465105528742069,100
14,23,0.414467360739404,0.490329507969692,100
15,23,0.432161754590571,0.51286011084974,100
16,23,0.447509865978226,0.532548654658331,100
17,23,0.460483296631128,0.549270573873338,100
18,23,0.47109886093301,0.562926650848256,100
19,23,0.479406923726926,0.573443931339222,100
20,23,0.485475329160716,0.580776313008827,100
21,23,0.489372559891351,0.58490479984376,100
22,23,0.491153566362824,0.585837420339252,100
23,23,0.49085060934477,0.583608812245799,100
24,23,0.488470072521152,0.578279481566081,100
25,23,0.483995017424997,0.569934748256712,100
26,23,0.477392475108039,0.558683395656703,100
27,23,0.468624066918314,0.544656044961801,100
28,23,0.457658397368522,0.528003280024809,100
29,23,0.444483661499808,0.508893551325692,100
30,23,0.429119007406195,0.487510891066945,100
31,23,0.411623372351303,0.46405247396175,100
32,23,0.392100751295055,0.438726060355175,100
33,23,0.370701152223594,0.411747359820729,100
34,23,0.347616875213579,0.383337354283727,100
35,23,0.323074285211824,0.35371962002621,100
36,23,0.297321945149115,0.323117687622059,100
37,23,0.270616698020767,0.291752477941578,100
38,23,0.243209748513007,0.259839850867813,100
39,23,0.215334729902335,0.227588301306952,100
40,23,0.187199117048388,0.195196834485902,100
41,23,0.158979421540423,0.162853049453516,100
42,23,0.130819763882803,0.130731456187404,100
43,23,0.102832920218628,0.0989920478121066,100
44,23,0.0751028178895845,0.0677791452190391,100
45,23,0.0476875857399619,0.0372205269111143,100
46,23,0.0206225181016589,0.00742685224659728,100
47,23,-0.00607739721877705,-0.0215086184986881,100
48,23,-0.0324154546881859,-0.0495100086185871,100
49,23,-0.0584115490616581,-0.0765185201236059,100
50,23,-0.0841005399428678,-0.102491850281009,100
1,24,0.0199804707660138,0.0122954276663055,100
2,24,0.0533741852659336,0.0505153662983291,100
3,24,0.08645603363709,0.0890614198220018,100
4,24,0.119152608759839,0.127699362858429,100
5,24,0.151372939970628,0.166187615106031,100
6,24,0.183007519054167,0.204279599813112,100
7,24,0.213927883155802,0.241726210082783,100
8,24,0.243986926055328,0.278278349728562,100
9,24,0.2730201904125,0.313689514086458,100
10,24,0.300848511366115,0.34771837540092,100
11,24,0.327282493222602,0.380131337150497,100
12,24,0.35212929938361,0.410705021969313,100
13,24,0.375201963020152,0.439228658648528,100
14,24,0.396330757502442,0.465506335055833,100
15,24,0.415375163254272,0.48935908567008,100
16,24,0.432233998999238,0.510626784764303,100
17,24,0.446850936971593,0.529169819047644,100
18,24,0.459213348659557,0.544870516752617,100
19,24,0.469344154634167,0.557634313679607,100
20,24,0.47728839622141,0.567390640531375,100
21,24,0.483097703554241,0.574093519927475,100
22,24,0.486816135964618,0.577721865719352,100
23,24,0.488470072521151,0.578279481566081,100
24,24,0.488063460028285,0.575794760111236,100
25,24,0.485578396572742,0.570320088455498,100
26,24,0.480980134506267,0.561930969880266,100
27,24,0.474225219214486,0.55072487587881,100
28,24,0.465271513499577,0.53681984643037,100
29,24,0.454089075381608,0.52035286004923,100
30,24,0.440671045767767,0.501477998399996,100
31,24,0.425043712468199,0.480364433142179,100
32,24,0.407274721067865,0.457194265107803,100
33,24,0.387478140614037,0.432160247888136,100
34,24,0.365815044259143,0.405463429380079,100
35,24,0.342488711891411,0.377310745797323,100
36,24,0.317734566697026,0.347912603072378,100
37,24,0.291806233348203,0.317480480457774,100
38,24,0.264960111103169,0.286224590481001,100
39,24,0.237441110128478,0.254351628229889,100
40,24,0.209471600381539,0.222062641262566,100
41,24,0.181244503918483,0.189551049276736,100
42,24,0.152920349323114,0.157000840071652,100
43,24,0.124627383659518,0.124584965334947,100
44,24,0.0964635889931607,0.0924639564335434,100
45,24,0.068499551228541,0.0607847767368722,100
46,24,0.0407814083811012,0.0296799231099608,100
47,24,0.0133334426600427,-0.000733214854546552,100
48,24,-0.0138397959891729,-0.030352733477829,100
49,24,-0.0407516907794183,-0.059092331350322,100
50,24,-0.0674317918712097,-0.0868811674493573,100
1,25,0.00113219907756095,-0.00563647439942618,100
2,25,0.0336249206940829,0.0306590988385104,100
3,25,0.0658966573962372,0.0673998712144278,100
4,25,0.0978845350570414,0.104380355222777,100
5,25,0.129509147412809,0.14138614200637,100
6,25,0.160673585736189,0.178195827244923,100
7,25,0.191262996260649,0.214583073399294,100
8,25,0.221144773874562,0.250318781429921,100
9,25,0.250169540997911,0.285173343256489,100
10,25,0.278173148399662,0.318918944805725,100
11,25,0.30498005328204,0.351331888528466,100
12,25,0.330408504309678,0.382194903771601,100
13,25,0.354277855805805,0.411299413373748,100
14,25,0.376417899669788,0.438447725316668,100
15,25,0.396679318836551,0.463455119201004,100
16,25,0.414943454496583,0.486151798711267,100
17,25,0.43112900761441,0.506384683069873,100
18,25,0.445193540183368,0.524019012725931,100
19,25,0.457128838402741,0.538939747146814,100
20,25,0.466950952798962,0.551052735539416,100
21,25,0.474687287112972,0.560285644577861,100
22,25,0.480363801029353,0.566588630705416,100
23,25,0.483995017424993,0.569934748256712,100
24,25,0.485578396572742,0.570320088455498,100
25,25,0.485093334485885,0.567763648224374,100
26,25,0.482504064979656,0.562306931636477,100
27,25,0.477765328786575,0.554013290685004,100
28,25,0.470829771231766,0.542967015785507,100
29,25,0.46165641140288,0.529272190000696,100
30,25,0.450219884803415,0.513051324332954,100
31,25,0.436520217810013,0.494443794514649,100
32,25,0.420592505642956,0.473604102493255,100
33,25,0.402515156370624,0.450699988215172,100
34,25,0.382414745158348,0.425910419322368,100
35,25,0.360465532579225,0.399423487959268,100
36,25,0.336882646375619,0.37143424501998,100
37,25,0.311909581983394,0.34214250283162,100
38,25,0.285802318842052,0.311750637458668,100
39,25,0.258813183168976,0.280461421524456,100
40,25,0.231177269574421,0.248475917684592,100
41,25,0.203103057524807,0.215991461666566,100
42,25,0.174767480895615,0.183199762130229,100
43,25,0.146314690316766,0.150285142532401,100
44,25,0.117857292893291,0.117422947729209,100
45,25,0.0894788647806568,0.0847781352612137,100
46,25,0.0612368081070436,0.0525040681838194,100
47,25,0.0331649984336822,0.0207415229780339,100
48,25,0.00527603627262634,-0.0103820774424571,100
49,25,-0.0224367932530111,-0.0407531992668432,100
50,25,-0.0499975805116145,-0.0702724992368483,100
1,26,-0.0170842115777505,-0.0229070144459011,100
2,26,0.0143430215517447,0.0112959990354458,100
3,26,0.0456395531119323,0.0460518561194783,100
4,26,0.0767527602039857,0.0811851593349917,100
5,26,0.107614435908593,0.116510202815105,100
6,26,0.138139806335969,0.151832447212226,100
7,26,0.168227080870035,0.186950156850208,100
8,26,0.197757609288614,0.221656178941741,100
9,26,0.226596719832715,0.255739842345794,100
10,26,0.25459535891059,0.288988951320098,100
11,26,0.281592748516885,0.321191848069593,100
12,26,0.307420374619468,0.352139516630223,100
13,26,0.331907609578389,0.381627699778931,100
14,26,0.354889019317935,0.409459000239478,100
15,26,0.376212850138273,0.435444937467123,100
16,26,0.395749457319004,0.459407931744165,100
17,26,0.413397865074444,0.481183188196519,100
18,26,0.429088632879936,0.500620454636401,100
19,26,0.442781942317511,0.517585628828157,100
20,26,0.454461118619481,0.531962192838211,100
21,26,0.46412313651228,0.54365245453423,100
