"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
-3.16338314177578,-2.39784997990424,-3.14482540714737,-3.18114145778794,-3.26104026843487,-3.1124322291853,-3.49226540727903,-3.48283679927312,-3.3121484498689,-3.20955640953462
-3.11385483133302,-2.402965602529,-3.12147576418038,-3.15290498238323,-3.27024624584716,-3.03756676442665,-3.46485002123935,-3.44798768426133,-3.30630946456773,-3.17739069437386
-3.07589871433578,-2.45559536685102,-3.09823408380108,-3.11912594727056,-3.27283370485167,-2.94581627068755,-3.43195816639142,-3.38527584658824,-3.27026228321059,-3.15402572282274
-3.04565127810077,-2.53248509791216,-3.07330701890433,-3.08359261180813,-3.25732669768938,-2.84379669268977,-3.38380361982655,-3.30668972519229,-3.22006517366282,-3.11516742327989
-3.03360411328379,-2.63289834164019,-3.04779310873666,-3.0509254457909,-3.22982496464697,-2.75010671395341,-3.34295472456519,-3.21999561236686,-3.1549509911028,-3.09140048828931
-3.02736255274892,-2.71725648850905,-3.0174017986501,-3.02439885578044,-3.17898292405325,-2.66889354922016,-3.29428607952979,-3.14166588833512,-3.10023261672225,-3.05070994854081
-3.03428685043934,-2.7856247287434,-2.9835047744277,-3.00716325943237,-3.11436811086551,-2.61444222822823,-3.25898299368426,-3.07743275224365,-3.0543835588284,-3.0241308502328
-3.04701760689431,-2.81826125648379,-2.94446611469554,-3.00034269220529,-3.03649386015326,-2.58889676739796,-3.23447384188696,-3.0353688783978,-3.02915962045272,-3.00597423689369
-3.06033318211948,-2.80673151561747,-2.900517681503,-3.00384133248666,-2.94875463991674,-2.59117016491413,-3.21924538673986,-3.01850214832764,-3.02974347232203,-2.99416480047448
-3.06882152494649,-2.75036851407953,-2.85306816530457,-3.01605097093231,-2.85545061193923,-2.61511553700722,-3.20886138647922,-3.02526040142394,-3.05702722438016,-2.98417706782454
-3.06862353918067,-2.65439729422165,-2.80422508947661,-3.0347558327693,-2.76278270258301,-2.65352089895611,-3.20067174233312,-3.05156804473279,-3.10822627312676,-2.97524143650356
-3.05953524870755,-2.53631290941044,-2.75807639829932,-3.05701150655907,-2.67812761778664,-2.69718865434872,-3.19299333980427,-3.08861554651049,-3.17371920991593,-2.96868716612767
-3.05138689201743,-2.43229352484646,-2.72160806071588,-3.08037382631329,-2.6141417621484,-2.7415694602605,-3.19652653814332,-3.1231475813377,-3.23243906095705,-2.98484809691655
-3.03653322391059,-2.34274705478566,-2.69591793181783,-3.10215367441811,-2.56827103055255,-2.77418753611984,-3.19457649945542,-3.15144827334016,-3.28626785841534,-2.9973421856338
-3.02779024756801,-2.30245086985687,-2.68725742086032,-3.12121026606497,-2.55071977925339,-2.79506966300976,-3.20036770944144,-3.16266794553636,-3.31500715393273,-3.02702354508062
-3.02580725983221,-2.31676066777538,-2.69691367108596,-3.13701415325012,-2.55983937817762,-2.80127808478306,-3.2089211875494,-3.15508281329889,-3.31696178706714,-3.06229907041601
-3.02562888374385,-2.37280350946859,-2.72287905065543,-3.15006282848165,-2.58745158707883,-2.79117007063469,-3.20814294477406,-3.1336680202268,-3.30144366185,-3.07752537785588
-3.03964180321033,-2.48368226791974,-2.76623420863158,-3.16225686502232,-2.6394097304444,-2.7764840746597,-3.21772722821496,-3.09851878625756,-3.25927943370218,-3.09988341293391
-3.05615591962162,-2.61425563302105,-2.82040372123721,-3.1751303333238,-2.70017115021038,-2.75755010618978,-3.21888071666017,-3.06228249042616,-3.21245048418023,-3.09193934127154
-3.08581937088372,-2.76700075506864,-2.88352337169915,-3.19122894372716,-2.7743867115771,-2.74985812863843,-3.23432020150684,-3.02890770619163,-3.1564585168199,-3.08741960361811
-3.11011681255891,-2.89072804059697,-2.94529136673815,-3.21174745485443,-2.84292337852415,-2.75258954770418,-3.24038181728369,-3.01478823468527,-3.12156418075376,-3.04446977017789
-3.14043976935303,-2.9940711037665,-3.003911070634,-3.23787393883189,-2.91332982474862,-2.7792339690834,-3.26339306770205,-3.01964143360149,-3.09815281957518,-3.00897020320575
-3.16852780862442,-3.05369420080617,-3.05280092939007,-3.26918727156034,-2.97764655963357,-2.82974075520172,-3.29685515735943,-3.04920763521242,-3.09781147864302,-2.97473548077144
-3.18881687708847,-3.05885338542827,-3.08736477144515,-3.30390315561765,-3.03177174655323,-2.90111359907202,-3.33728372300879,-3.10336475520885,-3.12426596584793,-2.944626500979
-3.20066462583759,-3.01457381386826,-3.1057244530489,-3.33922956717523,-3.07695001570629,-2.98908551432347,-3.38731977117665,-3.1759101685055,-3.17153133891267,-2.93459963789369
